genre,count
Dungeons & Dragons,2
Otome,39
On-Rails Shooter,10
Benchmark,4
Western,23
Mystery,66
Conversation,1
Lara Croft,4
Remake,9
Military,19
Assassin,11
Experimental,4
Online Multi-Player,1
Twin Stick Shooter,44
Cyberpunk,58
Nonlinear,1
Romance,7
Hockey,5
Real-Time,3
Dog,7
3D,3
Kickstarter,1
Platformer,648
Masterpiece,7
Games Workshop,5
Point & Click,492
In-App Purchases,1
Souls-like,12
Short,16
Action-Adventure,8
Tower Defense,168
Skateboarding,5
Procedural Generation,10
Diplomacy,1
Time Management,33
Bikes,6
Puzzle-Platformer,59
Isometric,20
Historical,69
Stealth,93
Epic,1
Fast-Paced,18
MOBA,13
Card Game,164
Baseball,11
Dungeon Crawler,45
Space Sim,8
Sailing,1
FMV,34
Trains,37
Hacking,20
Mythology,8
Quick-Time Events,3
Shoot 'Em Up,245
Wrestling,8
Hand-drawn,10
Thriller,2
Nudity,570
Trading Card Game,13
Funny,55
1980s,6
Cats,15
Dark Humor,9
Warhammer 40K,29
Sci-fi,157
Level Editor,15
Music-Based Procedural Generation,1
Gore,476
Software Training,11
Choose Your Own Adventure,29
Top-Down,22
Metroidvania,56
Arena Shooter,5
Local Co-Op,56
Walking Simulator,55
Politics,11
Cycling,2
Hunting,13
Bowling,2
Supernatural,2
Animation & Modeling,54
Text-Based,23
Blood,1
World War I,23
Steampunk,24
Simulation,3284
2D,163
Realistic,19
Rome,4
Grid-Based Movement,3
Third Person,25
Indie,16231
3D Vision,1
Real-Time with Pause,3
360 Video,3
Bullet Time,5
Agriculture,24
Hack and Slash,83
Sports,781
Investigation,1
Spectacle fighter,1
Retro,114
Bullet Hell,96
Action RPG,20
Relaxing,46
Post-apocalyptic,40
RTS,174
BMX,4
Cartoon,2
Action,10322
Multi-player,1
Video Production,31
Beat 'em up,47
Drama,4
Mature,37
Real Time Tactics,2
Rogue-lite,20
Cartoony,3
2D Fighter,41
Intentionally Awkward Controls,1
Sandbox,94
Gothic,2
Narration,3
Comic Book,5
VR Only,25
Submarine,4
GameMaker,1
Mystery Dungeon,1
JRPG,94
Free to Play,1662
Philisophical,3
Character Action Game,5
Spelling,3
PvP,10
Atmospheric,85
Board Game,105
Zombies,158
Beautiful,3
Voxel,2
Puzzle,1116
Sexual Content,557
Moddable,2
6DOF,7
RPGMaker,192
MMORPG,31
Martial Arts,6
Movie,1
Multiplayer,405
Vampire,17
Turn-Based Tactics,22
Rhythm,48
Soccer,9
Flight,64
Alternate History,2
Batman,9
Local Multiplayer,80
RPG,2784
Battle Royale,24
Shooter,101
Dark Fantasy,6
Logic,1
Audio Production,20
Hidden Object,460
Touch-Friendly,3
Turn-Based Strategy,103
Strategy RPG,2
Fishing,17
Dystopian,4
Political,7
Demons,3
Pinball,15
Turn-Based,171
Split Screen,5
Gun Customization,1
Story Rich,159
Pool,3
Mod,1
Magic,11
Heist,2
Fighting,117
Design & Illustration,80
Dragons,12
Web Publishing,9
Education,84
Class-Based,2
Open World,243
Underwater,13
Driving,59
Resource Management,5
Sniper,8
Parkour,23
Horror,493
Utilities,138
Cinematic,1
Stylized,1
Controller,3
Voice Control,2
Psychedelic,14
Minimalist,31
Programming,26
Detective,42
Motocross,9
Hex Grid,11
Snow,3
Clicker,64
Mouse only,8
Music,105
Superhero,22
War,25
Co-op,120
Medieval,51
Tanks,21
Cult Classic,7
Inventory Management,1
Crafting,23
Werewolves,3
Tactical,51
Sokoban,10
Replay Value,6
Base-Building,26
Software,16
Cute,40
Game Development,23
Classic,170
Parody,1
Time Manipulation,3
Photo Editing,8
Basketball,9
Noir,14
Grand Strategy,33
Tennis,14
Strategy,4172
Surreal,19
Chess,16
Horses,12
Party-Based RPG,3
Dinosaurs,34
Adventure,7770
3D Platformer,42
Destruction,21
Faith,7
Psychological Horror,76
Lovecraftian,26
VR,961
Capitalism,4
Physics,53
Early Access,2967
Word Game,10
Mechs,36
Psychological,2
Fantasy,115
Old School,4
Pixel Graphics,249
Casual,8205
Crime,12
Rogue-like,104
NSFW,1
Gambling,3
Comedy,89
Linear,2
Football,14
Robots,22
First-Person,91
Ninja,13
Building,62
Lemmings,3
Skating,1
Great Soundtrack,125
Exploration,55
Snowboarding,2
God Game,10
Pirates,31
Singleplayer,161
Trading,8
Top-Down Shooter,27
Aliens,9
Management,116
Arcade,203
Satire,6
Mars,6
Family Friendly,86
Economy,17
Third-Person Shooter,42
City Builder,71
Visual Novel,546
Interactive Fiction,10
4 Player Local,44
e-sports,2
Anime,538
Loot,3
Side Scroller,12
Perma Death,1
Steam Trading Cards,1
Team-Based,3
Swordplay,7
Abstract,5
Time Attack,2
Motorbike,3
Racing,765
Offroad,17
Mini Golf,7
Survival Horror,51
Villain Protagonist,9
Tactical RPG,2
Science,4
Massively Multiplayer,377
2.5D,1
Female Protagonist,199
Star Wars,28
Golf,14
LEGO,22
Score Attack,2
Runner,14
CRPG,2
Cold War,11
Space,225
Typing,6
Memes,78
Mining,6
Dating Sim,33
Colorful,5
Survival,235
1990's,7
Wargame,18
Dark,5
Online Co-Op,9
Turn-Based Combat,21
America,2
Difficult,85
Multiple Endings,5
Time Travel,3
Naval,39
4X,37
Character Customization,14
FPS,405
Documentary,3
Futuristic,4
World War II,130
Match 3,119
Illuminati,9
Competitive,12
Choices Matter,32
Violent,545
